Temperature,Luminosity,Infrared,Distance,Label
27.34,71.88,0,192.26,FlashLight
27.67,73.24,0,193.4,FlashLight
27.34,72.27,0,194.25,FlashLight
27.34,71.97,0,170.5,FlashLight
27.67,71.78,0,194.28,FlashLight
27.34,70.31,0,194.26,FlashLight
27.34,69.82,0,194.2,FlashLight
27.34,70.7,0,153.31,FlashLight
27.34,70.02,0,193.76,FlashLight
25.41,36.52,95.41,194.03,Infrared
25.09,35.84,95.41,194.55,Infrared
24.77,36.62,95.41,194.16,Infrared
25.09,35.16,95.31,194.23,Infrared
25.41,35.06,95.12,193.43,Infrared
25.09,35.45,94.92,193.33,Infrared
25.09,34.86,94.92,193.4,Infrared
25.09,35.94,94.92,193.4,Infrared
24.77,18.55,0,400,StandBy
24.12,24.9,0,193.25,StandBy
24.44,24.41,0,193.72,StandBy
24.44,25.49,0,193.75,StandBy
24.44,25.39,0,194.58,StandBy
24.44,25.49,0,194.64,StandBy
24.44,25.88,0,193.79,StandBy
24.44,25.98,0,194.66,StandBy
27.67,76.17,0,194.3,FlashLight
27.34,73.63,0,129.92,FlashLight
27.67,75,0,194.69,FlashLight
27.99,74.51,0,182.04,FlashLight
28.63,74.9,0,193.44,FlashLight
27.34,74.32,0,194.3,FlashLight
27.34,74.61,0,146.28,FlashLight
27.34,73.54,0,193.84,FlashLight
27.34,71.48,0,193.37,FlashLight
27.34,73.34,0,193.83,FlashLight
27.34,73.83,0,194.31,FlashLight
27.34,71.88,0,192.26,FlashLight
27.67,73.24,0,193.4,FlashLight
27.34,72.27,0,194.25,FlashLight
27.34,71.97,0,170.5,FlashLight
27.67,71.78,0,194.28,FlashLight
27.34,70.31,0,194.26,FlashLight
27.34,69.82,0,194.2,FlashLight
27.34,70.7,0,153.31,FlashLight
27.34,70.02,0,193.76,FlashLight
25.41,36.52,95.41,194.03,Infrared
25.09,35.84,95.41,194.55,Infrared
24.77,36.62,95.41,194.16,Infrared
25.09,35.16,95.31,194.23,Infrared
25.41,35.06,95.12,193.43,Infrared
25.09,35.45,94.92,193.33,Infrared
25.09,34.86,94.92,193.4,Infrared
25.09,35.94,94.92,193.4,Infrared
24.44,25.49,0,193.73,StandBy
24.44,25.78,0,193.69,StandBy
24.44,25.68,0,194.61,StandBy
24.44,25.78,0,194.62,StandBy
95.66,100,42.97,194.15,Lighter
88.9,100,42.38,193.35,Lighter
88.25,100,42.38,193.37,Lighter
86.96,100,39.26,193.34,Lighter
27.34,75.78,0,193.93,FlashLight
27.34,74.02,0,194.3,FlashLight
30.89,26.86,94.24,400,Infrared
30.89,24.41,93.75,20.09,Infrared
30.89,26.76,94.14,400,Infrared
25.09,35.74,95.12,193.72,Infrared
25.41,36.52,95.21,193.32,Infrared
25.09,35.74,95.02,193.76,Infrared
101.79,100,45.9,194.48,Lighter
98.24,100,50.68,196.29,Lighter
95.02,100,42.38,194.23,Lighter
24.44,25.88,0,193.78,StandBy
24.44,25.98,0,194.64,StandBy
24.44,26.46,0,193.75,StandBy
